X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
39.250253,268091.45,266162.41,264232.51,262301.86,260370.55,120372.03,119593.45,118816.44,118040.99,117267.12,-30,86.626841,2628.7065
39.260253,267871.25,266066.33,264260.66,262454.32,260647.4,120125.64,119455.94,118787.4,118120.02,117453.81,-30,86.671813,2628.8299
39.270253,267651.33,265970.87,264289.76,262608.08,260925.89,119878.04,119317.42,118757.61,118198.62,117640.45,-30,86.716786,2628.952
39.280253,267432.14,265876.25,264319.81,262762.88,261205.51,119629.62,119178.07,118727.05,118276.55,117826.6,-30,86.76176,2629.0727
39.290253,267214.11,265782.68,264350.78,262918.45,261485.76,119380.77,119038.08,118695.69,118353.61,118011.83,-30,86.806734,2629.1919
39.300253,266997.72,265690.36,264382.62,263074.52,261766.11,119131.93,118897.66,118663.54,118429.55,118195.71,-30,86.85171,2629.3097
39.310253,266783.42,265599.51,264415.3,263230.79,262046.02,118883.51,118757.02,118630.57,118504.17,118377.8,-30,86.896685,2629.4261
39.320253,266571.66,265510.34,264448.76,263386.96,262324.94,118635.96,118616.38,118596.81,118577.23,118557.66,-30,86.941662,2629.541
39.330253,266362.89,265423.03,264482.97,263542.73,262602.32,118389.7,118475.96,118562.24,118648.53,118734.85,-30,86.986639,2629.6546
39.340253,266157.55,265337.78,264517.86,263697.8,262877.61,118145.18,118335.98,118526.87,118717.86,118908.94,-30,87.031617,2629.7666
